features,importance_score
balance_difference_60,0.2632997714547301
balance_difference_90,0.25958894746909983
incoming_foreign_amount_30,0.1376183496435865
outgoing_domestic_amount_90,0.11426220140645638
outgoing_domestic_amount_60,0.08511714748670553
outgoing_foreign_amount_30,0.020135629051914527
incoming_foreign_amount_60,0.018552270562180898
outgoing_foreign_amount_90,0.017350226907748283
incoming_domestic_count_30,0.017177337326649438
outgoing_foreign_amount_60,0.016952420460203878
incoming_foreign_amount_90,0.01658045941132986
incoming_domestic_count_90,0.00952665804725365
incoming_domestic_count_60,0.005079151349316943
outgoing_domestic_count_30,0.0038486438089430615
incoming_domestic_amount_90,0.0021881530348048404
outgoing_foreign_count_60,0.0019419126472169496
incoming_foreign_count_90,0.00184147164723196
outgoing_domestic_count_60,0.0014742714813064791
outgoing_foreign_count_90,0.0012807429041649158
outgoing_foreign_count_30,0.001232075547984146
outgoing_domestic_count_90,0.0011947168544776405
incoming_foreign_count_30,0.0009481630163907092
outgoing_domestic_amount_30,0.0008105030634774042
balance_difference_30,0.000780009534512663
incoming_foreign_count_60,0.0006808982097440962
incoming_domestic_amount_60,0.0005378676725693797
